State	Abbreviation	Population	Total Area	Land Area	Water Area
Alabama	AL	4858979	52420	50645	1775
Alaska	AK	738432	665384	570641	94743
Arizona	AZ	6828065	113990	113594	396
Arkansas	AR	2978204	53179	52035	1143
California	CA	39144818	163695	155779	7916
Colorado	CO	5456574	104094	103642	452
Connecticut	CT	3590886	5543	4842	701
Delaware	DE	945934	2489	1949	540
Florida	FL	20271272	65758	53625	12133
Georgia	GA	10214860	59425	57513	1912
Hawaii	HI	1431603	10932	6423	4509
Idaho	ID	1654930	83569	82643	926
Illinois	IL	12859995	57914	55519	2395
Indiana	IN	6619680	36420	35826	593
Iowa	IA	3123899	56273	55857	416
Kansas	KS	2911641	82278	81759	520
Kentucky	KY	4425092	40408	39486	921
Louisiana	LA	4670724	52378	43204	9174
Maine	ME	1329328	35380	30843	4537
Maryland	MD	6006401	12406	9707	2699
Massachusetts	MA	6794422	10554	7800	2754
Michigan	MI	9922576	96714	56539	40175
Minnesota	MN	5489594	86936	79627	7309
Mississippi	MS	2992333	48432	46923	1509
Missouri	MO	6083672	69707	68742	965
Montana	MT	1032949	147040	145546	1494
Nebraska	NE	1896190	77348	76824	524
Nevada	NV	2890845	110572	109781	791
New Hampshire	NH	1330608	9349	8953	397
New Jersey	NJ	8958013	8723	7354	1368
New Mexico	NM	2085109	121590	121298	292
New York	NY	19795791	54555	47126	7429
North Carolina	NC	10042802	53819	48618	5201
North Dakota	ND	756927	70698	69001	1698
Ohio	OH	11613423	44826	40861	3965
Oklahoma	OK	3911338	69899	68595	1304
Oregon	OR	4028977	98379	95988	2391
Pennsylvania	PA	12802503	46054	44743	1312
Rhode Island	RI	1056298	1545	1034	511
South Carolina	SC	4896146	32020	30061	1960
South Dakota	SD	858469	77116	75811	1305
Tennessee	TN	6600299	42144	41235	909
Texas	TX	27469114	268596	261232	7365
Utah	UT	2995919	84897	82170	2727
Vermont	VT	626042	9616	9217	400
Virginia	VA	8382993	42775	39490	3285
Washington	WA	7170351	71298	66456	4842
West Virginia	WV	1844128	24230	24038	192
Wisconsin	WI	5771337	65496	54158	11339
Wyoming	WY	586107	97813	97093	720
